Poo 1998,Pre base spike num,Pre base spike freq,Post base spike num,Post base spike freq,Potocol occurance,Protocol freq,dt1,dt2,dt3,dw_mean,dw_ste
9,2,0,2,0,60,1,5,96.6,-5,8.361702128,0
9,2,0,2,0,60,1,5,-75.0,-5,7.6,0
9,2,0,2,0,60,1,5,-25.0,-5,-12.41,0
9,2,0,2,0,60,1,5,-15.0,-5,19.6,0
9,2,0,2,0,60,1,5,106.4,-5,2.3,0
10,2,0,1,0,60,1,-10,10,0,26.875,0
10,2,0,1,0,60,1,-10,10,0,14.58333333,0
10,2,0,1,0,60,1,-10,10,0,14.16666667,0
10,2,0,1,0,60,1,-10,10,0,10.83333333,0
10,2,0,1,0,60,1,-10,10,0,7.5,0
10,2,0,1,0,60,1,-10,10,0,1.458333333,0
10,2,0,1,0,60,1,-10,10,0,0.625,0
10,2,0,1,0,60,1,-10,10,0,-5.625,0
10,2,0,1,0,60,1,-10,10,0,-6.041666667,0
10,2,0,1,0,60,1,-10,10,0,-10.41666667,0
10,2,0,1,0,60,1,-10,10,0,-11.66666667,0
10,2,0,1,0,60,1,-10,10,0,-14.375,0
10,2,0,1,0,60,1,-10,10,0,26.88,0
10,2,0,1,0,60,1,-5,5,0,11.04166667,0
10,2,0,1,0,60,1,-5,5,0,7.708333333,0
10,2,0,1,0,60,1,-5,5,0,4.791666667,0
10,2,0,1,0,60,1,-5,5,0,-0.625,0
10,2,0,1,0,60,1,-5,5,0,-7.5,0
10,2,0,1,0,60,1,-5,5,0,-17.70833333,0
10,1,0,2,0,60,1,5,-5,0,43.33333333,0
10,1,0,2,0,60,1,5,-5,0,37.70833333,0
10,1,0,2,0,60,1,5,-5,0,32.29166667,0
10,1,0,2,0,60,1,5,-5,0,28.33333333,0
10,1,0,2,0,60,1,5,-5,0,27.91666667,0
10,1,0,2,0,60,1,5,-5,0,14.58333333,0
10,1,0,2,0,60,1,5,-5,0,3.125,0
10,1,0,2,0,60,1,10,-10,0,41.66666667,0
10,1,0,2,0,60,1,10,-10,0,39.79166667,0
10,1,0,2,0,60,1,10,-10,0,36.04166667,0
10,1,0,2,0,60,1,10,-10,0,30.625,0
10,1,0,2,0,60,1,10,-10,0,28.125,0
10,1,0,2,0,60,1,10,-10,0,18.54166667,0
10,1,0,2,0,60,1,10,-10,0,-2.083333333,0
10,1,0,2,0,60,1,10,-10,0,7.29,0
11,2,20,2,20,10,0.25,5,0,0,0.38,0
11,5,20,2,20,10,0.25,5,0,0,0.38,0
11,10,20,2,20,10,0.25,5,0,0,0.38,0
11,5,2,5,2,10,0.25,5,0,0,0,0
11,5,5,5,5,10,0.25,5,0,0,0,0
12,5,10,5,10,10,0.25,5,0,0,26.11111111,0
12,5,20,5,20,10,0.25,5,0,0,52.08510638,0
12,5,30,5,30,10,0.25,5,0,0,29.56699346,0
12,5,40,5,40,10,0.25,5,0,0,61.55512573,0
13,5,10,5,20,10,0.25,10,0,0,20,0
13,5,10,5,20,10,0.25,-10,0,0,-20,0
13,5,10,5,20,10,0.25,100,0,0,0,0
13,5,10,5,20,10,0.25,-100,0,0,0,0
14,5,50,5,50,15,0.1,10,0,0,40,0
15,2,50,1,0,60,1,10,-10,0,2.7,3.820224719
15,2,100,1,0,60,1,5,-5,0,0.0,1.685393258
15,1,50,2,0,60,1,-10,10,0,33.9,3.820224719
15,1,100,2,0,60,1,-5,5,0,32.81,4.157303371
