ptl_idx,pre_spk_num,pre_spk_freq,post_spk_num,post_spk_freq,ptl_occ,ptl_freq,dt1,dt2,dt3,dw_mean,dw_ste,train_len
3,2,0,2,0,60,1,5,-115.5142793,-5,-8.423932768,0,60
3,2,0,2,0,60,1,5,-104.5131999,-5,0.996460235,0,60
3,2,0,2,0,60,1,5,-82.91992873,-5,7.876141232,0,60
3,2,0,2,0,60,1,5,-93.89154934,-5,-6.44618945,0,60
3,2,0,2,0,60,1,5,-71.79040917,-5,-4.075914046,0,60
3,2,0,2,0,60,1,5,-61.22767615,-5,-1.714688373,0,60
3,2,0,2,0,60,1,5,-50.20185142,-5,3.588076979,0,60
3,2,0,2,0,60,1,5,-50.19595967,-5,2.607689443,0,60
3,2,0,2,0,60,1,5,-50.63194932,-5,-4.843632901,0,60
3,2,0,2,0,60,1,5,-50.1382205,-5,-7.000108408,0,60
3,2,0,2,0,60,1,5,-39.61201635,-5,1.439519987,0,60
3,2,0,2,0,60,1,5,-28.86491722,-5,10.17867726,0,60
3,2,0,2,0,60,1,5,-28.8424953,-5,6.447670181,0,60
3,2,0,2,0,60,1,5,-28.81395832,-5,1.699115713,0,60
3,2,0,2,0,60,1,5,-28.80835284,-5,0.766363942,0,60
3,2,0,2,0,60,1,5,-28.72834736,-5,-12.54654769,0,60
3,2,0,2,0,60,1,5,-18.11717487,-5,20.78660876,0,60
3,2,0,2,0,60,1,5,-17.89499405,-5,18.4124946,0,60
3,2,0,2,0,60,1,5,-18.02952556,-5,6.201762896,0,60
3,2,0,2,0,60,1,5,-12.42200781,-5,7.223713131,0,60
3,2,0,2,0,60,1,5,-12.41996946,-5,6.884530669,0,60
3,2,0,2,0,60,1,5,-12.52647357,-5,-9.989959884,0,60
3,2,0,2,0,60,1,5,9.151953592,-5,15.38105134,0,60
3,2,0,2,0,60,1,5,9.159597427,-5,14.10911711,0,60
3,2,0,2,0,60,1,5,9.436304274,-5,2.661872086,0,60
3,2,0,2,0,60,1,5,14.56990422,-5,13.35019635,0,60
3,2,0,2,0,60,1,5,14.67386038,-5,30.64866498,0,60
3,2,0,2,0,60,1,5,19.91600279,-5,23.27552315,0,60
3,2,0,2,0,60,1,5,25.50058903,-5,28.11327608,0,60
3,2,0,2,0,60,1,5,25.72124108,-5,25.99354876,0,60
3,2,0,2,0,60,1,5,25.75334519,-5,20.65142498,0,60
3,2,0,2,0,60,1,5,25.60658355,-5,10.47578805,0,60
3,2,0,2,0,60,1,5,20.02862197,-5,4.53569212,0,60
3,2,0,2,0,60,1,5,25.85628217,-5,3.522710651,0,60
3,2,0,2,0,60,1,5,25.86647396,-5,1.826798341,0,60
3,2,0,2,0,60,1,5,36.08883001,-5,30.66546104,0,60
3,2,0,2,0,60,1,5,36.13214507,-5,23.45783372,0,60
3,2,0,2,0,60,1,5,36.79563,-5,16.84426492,0,60
3,2,0,2,0,60,1,5,36.20705466,-5,10.99287824,0,60
3,2,0,2,0,60,1,5,47.40272577,-5,16.2590121,0,60
3,2,0,2,0,60,1,5,47.45979974,-5,6.761903164,0,60
3,2,0,2,0,60,1,5,58.35277497,-5,27.79985844,0,60
3,2,0,2,0,60,1,5,57.80853388,-5,14.57125321,0,60
3,2,0,2,0,60,1,5,58.25901058,-5,8.805477497,0,60
3,2,0,2,0,60,1,5,69.00624334,-5,19.49820461,0,60
3,2,0,2,0,60,1,5,69.0684132,-5,9.153139521,0,60
3,2,0,2,0,60,1,5,79.88902678,-5,7.635298003,0,60
3,2,0,2,0,60,1,5,79.96393637,-5,-4.829657476,0,60
3,2,0,2,0,60,1,5,90.68314173,-5,10.52682849,0,60
3,2,0,2,0,60,1,5,90.97972255,-5,-4.227445537,0,60
3,2,0,2,0,60,1,5,101.5068128,-5,8.500213281,0,60
